Administratīvās teritorijas nosaukums,Ģimenes valsts pabalsta saņēmēji kopā,1 bērns,2 bērni,3 bērni,4 bērni,5 bērni,6 un vairāk bērni
Kopā,213 481,112 016,74 602,21 220,4 158, 999, 486
   RĪGA,67 214,38 646,22 618,4 948, 763, 172, 67
   DAUGAVPILS,8 569,4 877,2 843, 675, 125, 26, 23
   JELGAVA,6 789,3 391,2 407, 778, 163, 37, 13
   JŪRMALA,6 287,3 516,2 209, 477, 69, 12, 4
   LIEPĀJA,8 034,4 251,2 776, 758, 176, 56, 17
   RĒZEKNE,3 023,1 700,1 046, 228, 36, 12, 1
   VENTSPILS,3 698,1 971,1 300, 346, 69, 9, 3
   AIZKRAUKLES NOVADS,2 850,1 415, 934, 372, 85, 27, 17
   ALŪKSNES NOVADS,1 332, 704, 440, 132, 36, 9, 11
   AUGŠDAUGAVAS NOVADS,2 084,1 091, 691, 203, 54, 23, 22
   ĀDAŽU NOVADS,3 482,1 627,1 406, 376, 64, 7, 2
   BALVU NOVADS,1 639, 820, 540, 188, 55, 20, 16
   BAUSKAS NOVADS,4 597,2 282,1 625, 519, 123, 34, 14
   CĒSU NOVADS,4 619,2 231,1 633, 586, 130, 21, 18
   DIENVIDKURZEMES NOVADS,3 427,1 595,1 151, 508, 133, 29, 11
   DOBELES NOVADS,2 969,1 449,1 018, 371, 88, 29, 14
   GULBENES NOVADS,1 895, 955, 631, 227, 56, 15, 11
   JELGAVAS NOVADS,3 788,1 805,1 375, 456, 111, 29, 12
   JĒKABPILS NOVADS,4 152,2 118,1 362, 502, 118, 34, 18
   KRĀSLAVAS NOVADS,1 599, 827, 534, 156, 51, 18, 13
   KULDĪGAS NOVADS,3 030,1 472,1 103, 363, 69, 16, 7
   ĶEKAVAS NOVADS,4 506,2 106,1 790, 517, 74, 11, 8
   LIMBAŽU NOVADS,2 795,1 422, 957, 312, 76, 19, 9
   LĪVĀNU NOVADS,1 030, 543, 330, 112, 31, 8, 6
   LUDZAS NOVADS,1 870,1 040, 608, 171, 28, 15, 8
   MADONAS NOVADS,2 716,1 299, 977, 332, 80, 18, 10
   MĀRUPES NOVADS,6 263,2 834,2 566, 753, 92, 12, 6
   OGRES NOVADS,7 168,3 424,2 612, 918, 171, 29, 14
   OLAINES NOVADS,2 551,1 331, 929, 250, 29, 7, 5
   PREIĻU NOVADS,1 420, 704, 455, 201, 45, 12, 3
   RĒZEKNES NOVADS,2 835,1 536, 863, 314, 88, 21, 13
   ROPAŽU NOVADS,4 897,2 344,1 904, 548, 82, 12, 7
   SALASPILS NOVADS,3 188,1 646,1 214, 273, 43, 7, 5
   SALDUS NOVADS,2 928,1 423,1 072, 321, 76, 27, 9
   SAULKRASTU NOVADS,1 106, 539, 399, 133, 30, 5,0
   SIGULDAS NOVADS,4 185,1 894,1 589, 556, 120, 22, 4
   SMILTENES NOVADS,1 953, 960, 656, 246, 54, 24, 13
   TALSU NOVADS,3 684,1 770,1 318, 458, 108, 24, 6
   TUKUMA NOVADS,5 088,2 480,1 841, 585, 146, 24, 12
   VALKAS NOVADS, 718, 327, 251, 103, 26, 6, 5
   VALMIERAS NOVADS,5 822,2 788,2 080, 746, 138, 47, 23
   VARAKĻĀNU NOVADS, 260, 121, 100, 29, 8, 2,0
   VENTSPILS NOVADS,1 079, 510, 357, 158, 36, 12, 6
Ārvalstis, 342, 232, 92, 15, 3,0,0